accident_id,timestamp,route_id,latitude,longitude,severity,vehicles_involved
A3696,2023-10-07 13:00:00,R001,28.6357,77.0643,Major,4
A4871,2023-10-04 02:00:00,R002,28.3198,77.2898,Minor,2
A4303,2023-10-06 15:00:00,R003,28.3799,77.0222,Minor,3
A9924,2023-10-04 22:00:00,R001,28.6426,77.334,Minor,2
A9684,2023-10-04 13:00:00,R002,28.6307,77.2099,Minor,1
A8282,2023-10-05 18:00:00,R003,28.4175,77.0166,Minor,3
A2051,2023-10-07 11:00:00,R003,28.6392,77.3789,Minor,3
A3105,2023-10-03 19:00:00,R002,28.4822,77.2712,Severe,2
A2517,2023-10-05 08:00:00,R004,28.6178,77.1113,Minor,2
A2961,2023-10-05 07:00:00,R003,28.4374,77.3338,Major,4
A1183,2023-10-05 17:00:00,R004,28.5381,77.0602,Minor,2
A7653,2023-10-02 00:00:00,R002,28.324,77.3619,Minor,2
A4354,2023-10-03 18:00:00,R005,28.3222,77.0028,Minor,1
A3398,2023-10-02 19:00:00,R002,28.4427,77.303,Major,5
A5765,2023-10-04 14:00:00,R001,28.6761,77.2415,Minor,1
A3341,2023-10-05 19:00:00,R005,28.5729,77.38,Major,3
A3672,2023-10-02 21:00:00,R001,28.3181,77.0872,Minor,3
A3773,2023-10-04 18:00:00,R002,28.5093,77.2799,Minor,2
A4783,2023-10-06 17:00:00,R001,28.6306,77.3204,Severe,2
A5538,2023-10-06 01:00:00,R005,28.6922,77.0859,Minor,1
A3866,2023-10-03 10:00:00,R002,28.5635,77.2129,Major,5
A7078,2023-10-07 22:00:00,R002,28.5245,77.0985,Major,5
A7100,2023-10-06 01:00:00,R001,28.396,77.0577,Minor,3
A6558,2023-10-03 03:00:00,R001,28.3873,77.3958,Minor,1
A7837,2023-10-03 16:00:00,R001,28.6591,77.2981,Minor,2
A7845,2023-10-07 21:00:00,R003,28.6223,77.1313,Minor,2
A5591,2023-10-06 20:00:00,R001,28.4929,77.3364,Major,3
A4580,2023-10-01 13:00:00,R005,28.4538,77.1836,Minor,1
A8984,2023-10-07 18:00:00,R004,28.4683,77.2407,Minor,3
A9901,2023-10-01 04:00:00,R002,28.5617,77.2477,Minor,1
A8566,2023-10-01 13:00:00,R005,28.5451,77.3754,Minor,3
A2635,2023-10-04 08:00:00,R003,28.5725,77.3761,Minor,1
A2073,2023-10-06 04:00:00,R001,28.3423,77.142,Major,2
A4907,2023-10-03 09:00:00,R005,28.5225,77.0117,Minor,2
A3284,2023-10-06 11:00:00,R005,28.584,77.0383,Minor,3
A1961,2023-10-07 14:00:00,R001,28.6545,77.3737,Minor,3
A8119,2023-10-05 06:00:00,R002,28.4613,77.301,Minor,2
A1422,2023-10-05 17:00:00,R005,28.5926,77.3298,Major,2
A2657,2023-10-07 06:00:00,R005,28.3949,77.043,Minor,1
A2447,2023-10-07 06:00:00,R002,28.519,77.1098,Major,3
A4177,2023-10-01 05:00:00,R003,28.3026,77.3913,Minor,3
A1725,2023-10-04 08:00:00,R001,28.6282,77.1762,Minor,1
A6634,2023-10-07 05:00:00,R003,28.699,77.0765,Minor,2
A2814,2023-10-01 17:00:00,R001,28.3263,77.3548,Minor,1
A3971,2023-10-02 22:00:00,R004,28.3522,77.2262,Minor,3
A7782,2023-10-02 00:00:00,R002,28.3066,77.2647,Major,5
A6578,2023-10-02 23:00:00,R002,28.3095,77.334,Minor,1
A6695,2023-10-06 14:00:00,R001,28.4111,77.0144,Minor,2
A9432,2023-10-03 05:00:00,R003,28.3039,77.3432,Minor,3
A9622,2023-10-04 17:00:00,R001,28.3991,77.2791,Major,5
