timestamp,location,latitude,longitude,traffic_volume,average_speed_kmph,weather_severity,precipitation_mm,accident_impact,event_flag,public_transport_density,hour,day_of_week,is_peak_hour,route_id_encoded,congestion_level,distance_km,base_eta_mins,temperature_celsius,visibility_km,toll_fee_inr,surge_pricing_active
2026-05-01 00:00:00,Connaught Place,28.6315,77.2167,793.0,6.0,3,19.0,0,0,57.0,0,4,0,2,Very High,29.2,73,30.7,4.3,120,0
2026-05-01 00:10:00,Connaught Place,28.6315,77.2167,403.0,44.0,2,0.0,0,0,33.0,0,4,0,2,Low,13.2,33,34.5,9.5,100,0
2026-05-01 00:20:00,India Gate,28.6129,77.2295,120.0,47.0,0,0.0,1,1,45.0,0,4,0,8,Low,23.1,58,27.9,8.1,150,0
2026-05-01 00:30:00,Cyber Hub Gurgaon,28.4959,77.0882,539.0,8.0,5,12.0,1,0,60.0,0,4,0,3,Very High,20.2,50,37.3,1.5,80,0
2026-05-01 00:40:00,IGI Airport T3,28.5562,77.1,337.0,48.0,0,0.0,0,0,23.0,0,4,0,7,Low,34.5,86,30.9,7.8,120,0
2026-05-01 00:50:00,Sector 62 Noida,28.628,77.3649,354.0,35.0,5,2.0,0,0,84.0,0,4,0,14,Medium,20.2,50,34.7,2.2,100,0
2026-05-01 01:00:00,Sector 62 Noida,28.628,77.3649,502.0,25.0,5,8.0,0,0,43.0,1,4,0,14,Medium,20.5,51,33.0,4.5,200,0
2026-05-01 01:10:00,MG Road Gurgaon,28.4794,77.0806,442.0,41.0,0,0.0,0,0,96.0,1,4,0,11,Low,12.3,31,36.9,6.9,80,0
2026-05-01 01:20:00,IGI Airport T3,28.5562,77.1,774.0,7.0,5,2.0,0,0,12.0,1,4,0,7,Very High,12.6,32,33.5,1.9,80,0
2026-05-01 01:30:00,Akshardham Route,28.6127,77.2773,485.0,26.0,3,12.0,0,0,34.0,1,4,0,0,Medium,33.6,84,24.5,3.5,80,0
2026-05-01 01:40:00,India Gate,28.6129,77.2295,423.0,42.0,2,0.0,0,0,46.0,1,4,0,8,Low,32.4,81,29.3,7.9,100,0
2026-05-01 01:50:00,MG Road Gurgaon,28.4794,77.0806,727.0,7.0,0,0.0,1,0,61.0,1,4,0,11,Very High,8.3,21,37.6,8.0,80,0
2026-05-01 02:00:00,Sector 62 Noida,28.628,77.3649,183.0,43.0,0,0.0,1,0,70.0,2,4,0,14,Low,16.6,42,30.7,9.0,150,0
2026-05-01 02:10:00,Sector 62 Noida,28.628,77.3649,848.0,5.0,5,5.0,0,0,75.0,2,4,0,14,Very High,15.3,38,36.3,2.2,150,0
2026-05-01 02:20:00,MG Road Gurgaon,28.4794,77.0806,656.0,27.0,2,0.0,0,0,52.0,2,4,0,11,Medium,13.6,34,32.5,9.1,50,0
2026-05-01 02:30:00,India Gate,28.6129,77.2295,648.0,27.0,1,0.0,0,0,69.0,2,4,0,8,Medium,11.0,28,38.1,7.2,120,0
2026-05-01 02:40:00,DND Flyway,28.5942,77.3053,175.0,47.0,5,10.0,0,0,20.0,2,4,0,4,Low,23.4,58,28.9,4.7,120,0
2026-05-01 02:50:00,Greater Noida West,28.59,77.43,441.0,26.0,2,0.0,1,0,32.0,2,4,0,6,Medium,31.7,79,24.9,6.6,100,0
2026-05-01 03:00:00,Lajpat Nagar,28.5677,77.243,695.0,5.0,5,13.0,1,0,40.0,3,4,0,10,Very High,22.7,57,28.8,2.9,50,0
2026-05-01 03:10:00,IGI Airport T3,28.5562,77.1,564.0,33.0,2,0.0,0,0,39.0,3,4,0,7,Medium,32.0,80,23.8,7.5,50,0
2026-05-01 03:20:00,India Gate,28.6129,77.2295,306.0,50.0,1,0.0,0,0,81.0,3,4,0,8,Low,11.6,29,30.1,8.0,150,0
2026-05-01 03:30:00,Cyber Hub Gurgaon,28.4959,77.0882,204.0,57.0,2,0.0,0,0,46.0,3,4,0,3,Low,8.8,22,23.1,9.0,120,0
2026-05-01 03:40:00,Karol Bagh,28.6519,77.1909,67.0,66.0,0,0.0,0,0,59.0,3,4,0,9,Low,29.6,74,22.6,8.5,120,0
2026-05-01 03:50:00,Lajpat Nagar,28.5677,77.243,116.0,63.0,0,0.0,0,0,56.0,3,4,0,10,Low,30.3,76,24.6,8.6,100,0
2026-05-01 04:00:00,IGI Airport T3,28.5562,77.1,119.0,63.0,2,0.0,0,0,16.0,4,4,0,7,Low,12.6,32,27.9,6.4,100,0
2026-05-01 04:10:00,Dwarka Sector 21,28.5511,77.0565,621.0,29.0,1,0.0,0,0,49.0,4,4,0,5,Medium,7.3,18,38.3,7.1,100,0
2026-05-01 04:20:00,Akshardham Route,28.6127,77.2773,483.0,38.0,0,0.0,0,1,69.0,4,4,0,0,Medium,10.6,26,26.1,8.4,80,0
2026-05-01 04:30:00,Sector 18 Noida,28.5706,77.324,681.0,13.0,3,20.0,0,0,15.0,4,4,0,13,Very High,26.2,66,31.6,2.6,80,0
2026-05-01 04:40:00,India Gate,28.6129,77.2295,572.0,20.0,5,7.0,0,0,84.0,4,4,0,8,High,31.5,79,29.2,1.7,100,0
2026-05-01 04:50:00,Dwarka Sector 21,28.5511,77.0565,488.0,38.0,1,0.0,0,1,55.0,4,4,0,5,Medium,24.5,61,32.5,6.4,100,0
2026-05-01 05:00:00,Sector 62 Noida,28.628,77.3649,676.0,13.0,3,4.0,0,0,99.0,5,4,0,14,Very High,24.8,62,39.0,3.6,150,0
2026-05-01 05:10:00,Greater Noida West,28.59,77.43,58.0,52.0,1,0.0,1,0,60.0,5,4,0,6,Low,5.9,15,22.2,8.7,200,0
2026-05-01 05:20:00,DND Flyway,28.5942,77.3053,774.0,19.0,1,0.0,0,0,55.0,5,4,0,4,Very High,5.9,15,31.6,7.8,100,0
2026-05-01 05:30:00,Akshardham Route,28.6127,77.2773,304.0,38.0,3,11.0,0,0,49.0,5,4,0,0,Medium,9.2,23,33.0,2.0,80,0
2026-05-01 05:40:00,Botanical Garden,28.5636,77.334,355.0,47.0,2,0.0,0,0,32.0,5,4,0,1,Low,12.2,30,29.3,8.6,50,0
2026-05-01 05:50:00,DND Flyway,28.5942,77.3053,437.0,29.0,5,19.0,0,1,15.0,5,4,0,4,Medium,9.8,24,36.4,3.6,80,0
2026-05-01 06:00:00,DND Flyway,28.5942,77.3053,568.0,33.0,1,0.0,0,0,84.0,6,4,0,4,Medium,16.6,42,36.0,9.8,200,0
2026-05-01 06:10:00,Sector 18 Noida,28.5706,77.324,518.0,21.0,2,0.0,1,0,57.0,6,4,0,13,High,28.1,70,34.7,7.0,100,0
2026-05-01 06:20:00,Lajpat Nagar,28.5677,77.243,485.0,38.0,1,0.0,0,0,55.0,6,4,0,10,Medium,5.6,14,33.2,6.0,50,0
2026-05-01 06:30:00,MG Road Gurgaon,28.4794,77.0806,58.0,67.0,0,0.0,0,1,45.0,6,4,0,11,Low,22.9,57,32.5,7.2,200,0
2026-05-01 06:40:00,Cyber Hub Gurgaon,28.4959,77.0882,525.0,8.0,3,6.0,1,0,52.0,6,4,0,3,Very High,34.1,85,22.4,3.4,80,0
2026-05-01 06:50:00,MG Road Gurgaon,28.4794,77.0806,125.0,50.0,3,1.0,0,1,42.0,6,4,0,11,Low,28.4,71,33.5,4.1,100,0
2026-05-01 07:00:00,Lajpat Nagar,28.5677,77.243,130.0,62.0,0,0.0,0,0,90.0,7,4,0,10,Low,31.4,78,26.2,9.6,120,0
2026-05-01 07:10:00,Greater Noida West,28.59,77.43,659.0,5.0,3,8.0,1,1,71.0,7,4,0,6,Very High,34.7,87,34.0,1.9,80,0
2026-05-01 07:20:00,Sector 62 Noida,28.628,77.3649,224.0,56.0,1,0.0,0,0,10.0,7,4,0,14,Low,16.5,41,24.7,7.1,80,0
2026-05-01 07:30:00,Botanical Garden,28.5636,77.334,804.0,5.0,0,0.0,1,0,49.0,7,4,0,1,Very High,31.1,78,31.7,6.1,80,0
2026-05-01 07:40:00,Sector 62 Noida,28.628,77.3649,763.0,8.0,3,8.0,0,0,34.0,7,4,0,14,Very High,6.3,16,27.4,3.0,120,0
2026-05-01 07:50:00,Sector 62 Noida,28.628,77.3649,330.0,36.0,5,14.0,0,0,34.0,7,4,0,14,Medium,23.0,58,32.6,1.2,200,0
2026-05-01 08:00:00,Vaishali Ghaziabad,28.646,77.339,85.0,50.0,2,0.0,1,0,93.0,8,4,1,15,Low,30.2,76,26.3,6.1,150,1
2026-05-01 08:10:00,Vaishali Ghaziabad,28.646,77.339,706.0,11.0,5,1.0,0,0,26.0,8,4,1,15,Very High,24.9,62,31.6,2.9,150,1
2026-05-01 08:20:00,Pari Chowk,28.4671,77.503,141.0,34.0,3,10.0,1,0,49.0,8,4,1,12,Medium,22.6,56,22.8,2.4,50,1
2026-05-01 08:30:00,Botanical Garden,28.5636,77.334,524.0,36.0,0,0.0,0,0,38.0,8,4,1,1,Medium,29.5,74,28.4,7.9,100,1
2026-05-01 08:40:00,Sector 62 Noida,28.628,77.3649,800.0,17.0,0,0.0,0,0,79.0,8,4,1,14,Very High,19.0,48,26.6,7.8,80,1
2026-05-01 08:50:00,Botanical Garden,28.5636,77.334,592.0,16.0,1,0.0,1,0,24.0,8,4,1,1,High,10.4,26,25.2,9.4,120,1
2026-05-01 09:00:00,IGI Airport T3,28.5562,77.1,365.0,31.0,0,0.0,1,0,23.0,9,4,1,7,Medium,17.4,44,39.0,8.0,150,1
2026-05-01 09:10:00,Cyber Hub Gurgaon,28.4959,77.0882,717.0,11.0,5,18.0,0,0,93.0,9,4,1,3,Very High,13.8,34,25.8,3.2,100,1
