Timestamp,Location,Latitude,Longitude,Traffic Volume,Avg Speed (km/h),Weather,Rain(mm),Accident,Event,Public Transport Density,Congestion Level
2026-05-01 00:00,Connaught Place,28.6315,77.2167,793,6,Rain,19,No,No,57,Very High
2026-05-01 00:10,Connaught Place,28.6315,77.2167,403,44,Fog,0,No,No,33,Low
2026-05-01 00:20,India Gate,28.6129,77.2295,120,47,Clear,0,Yes,Yes,45,Low
2026-05-01 00:30,Cyber Hub Gurgaon,28.4959,77.0882,539,8,Heavy Rain,12,Yes,No,60,Very High
2026-05-01 00:40,IGI Airport T3,28.5562,77.1,337,48,Clear,0,No,No,23,Low
2026-05-01 00:50,Sector 62 Noida,28.628,77.3649,354,35,Heavy Rain,2,No,No,84,Medium
2026-05-01 01:00,Sector 62 Noida,28.628,77.3649,502,25,Heavy Rain,8,No,No,43,Medium
2026-05-01 01:10,MG Road Gurgaon,28.4794,77.0806,442,41,Clear,0,No,No,96,Low
2026-05-01 01:20,IGI Airport T3,28.5562,77.1,774,7,Heavy Rain,2,No,No,12,Very High
2026-05-01 01:30,Akshardham Route,28.6127,77.2773,485,26,Rain,12,No,No,34,Medium
2026-05-01 01:40,India Gate,28.6129,77.2295,423,42,Fog,0,No,No,46,Low
2026-05-01 01:50,MG Road Gurgaon,28.4794,77.0806,727,7,Clear,0,Yes,No,61,Very High
2026-05-01 02:00,Sector 62 Noida,28.628,77.3649,183,43,Clear,0,Yes,No,70,Low
2026-05-01 02:10,Sector 62 Noida,28.628,77.3649,848,5,Heavy Rain,5,No,No,75,Very High
2026-05-01 02:20,MG Road Gurgaon,28.4794,77.0806,656,27,Fog,0,No,No,52,Medium
2026-05-01 02:30,India Gate,28.6129,77.2295,648,27,Cloudy,0,No,No,69,Medium
2026-05-01 02:40,DND Flyway,28.5942,77.3053,175,47,Heavy Rain,10,No,No,20,Low
2026-05-01 02:50,Greater Noida West,28.59,77.43,441,26,Fog,0,Yes,No,32,Medium
2026-05-01 03:00,Lajpat Nagar,28.5677,77.243,695,5,Heavy Rain,13,Yes,No,40,Very High
2026-05-01 03:10,IGI Airport T3,28.5562,77.1,564,33,Fog,0,No,No,39,Medium
2026-05-01 03:20,India Gate,28.6129,77.2295,306,50,Cloudy,0,No,No,81,Low
2026-05-01 03:30,Cyber Hub Gurgaon,28.4959,77.0882,204,57,Fog,0,No,No,46,Low
2026-05-01 03:40,Karol Bagh,28.6519,77.1909,67,66,Clear,0,No,No,59,Low
2026-05-01 03:50,Lajpat Nagar,28.5677,77.243,116,63,Clear,0,No,No,56,Low
2026-05-01 04:00,IGI Airport T3,28.5562,77.1,119,63,Fog,0,No,No,16,Low
2026-05-01 04:10,Dwarka Sector 21,28.5511,77.0565,621,29,Cloudy,0,No,No,49,Medium
2026-05-01 04:20,Akshardham Route,28.6127,77.2773,483,38,Clear,0,No,Yes,69,Medium
2026-05-01 04:30,Sector 18 Noida,28.5706,77.324,681,13,Rain,20,No,No,15,Very High
