timestamp,route_id,traffic_volume,average_speed_kmph,congestion_level
2023-10-01 00:00:00,R001,178,33,Medium
2023-10-01 00:00:00,R002,139,75,Low
2023-10-01 00:00:00,R003,233,76,Low
2023-10-01 00:00:00,R004,168,49,Low
2023-10-01 00:00:00,R005,151,54,Low
2023-10-01 01:00:00,R001,112,40,Low
2023-10-01 01:00:00,R002,86,55,Low
2023-10-01 01:00:00,R003,77,73,Low
2023-10-01 01:00:00,R004,145,70,Low
2023-10-01 01:00:00,R005,111,62,Low
2023-10-01 02:00:00,R001,180,52,Low
2023-10-01 02:00:00,R002,169,67,Low
2023-10-01 02:00:00,R003,165,51,Low
2023-10-01 02:00:00,R004,134,52,Low
2023-10-01 02:00:00,R005,173,57,Low
2023-10-01 03:00:00,R001,100,44,Low
2023-10-01 03:00:00,R002,83,52,Low
2023-10-01 03:00:00,R003,132,66,Low
2023-10-01 03:00:00,R004,158,48,Low
2023-10-01 03:00:00,R005,188,77,Low
2023-10-01 04:00:00,R001,74,53,Low
2023-10-01 04:00:00,R002,214,46,Low
2023-10-01 04:00:00,R003,132,40,Low
2023-10-01 04:00:00,R004,180,53,Low
2023-10-01 04:00:00,R005,49,63,Low
2023-10-01 05:00:00,R001,246,41,Low
2023-10-01 05:00:00,R002,103,94,Low
2023-10-01 05:00:00,R003,66,47,Low
2023-10-01 05:00:00,R004,189,44,Low
2023-10-01 05:00:00,R005,132,42,Low
2023-10-01 06:00:00,R001,103,32,Medium
2023-10-01 06:00:00,R002,78,52,Low
2023-10-01 06:00:00,R003,117,36,Medium
2023-10-01 06:00:00,R004,124,46,Low
2023-10-01 06:00:00,R005,55,70,Low
2023-10-01 07:00:00,R001,75,43,Low
2023-10-01 07:00:00,R002,175,63,Low
2023-10-01 07:00:00,R003,80,47,Low
2023-10-01 07:00:00,R004,207,79,Low
2023-10-01 07:00:00,R005,185,43,Low
2023-10-01 08:00:00,R001,132,32,Medium
2023-10-01 08:00:00,R002,101,76,Low
2023-10-01 08:00:00,R003,86,60,Low
2023-10-01 08:00:00,R004,153,50,Low
2023-10-01 08:00:00,R005,116,62,Low
2023-10-01 09:00:00,R001,261,44,Low
2023-10-01 09:00:00,R002,161,63,Low
2023-10-01 09:00:00,R003,208,72,Low
2023-10-01 09:00:00,R004,97,80,Low
2023-10-01 09:00:00,R005,226,39,Medium
2023-10-01 10:00:00,R001,87,59,Low
2023-10-01 10:00:00,R002,112,80,Low
2023-10-01 10:00:00,R003,98,47,Low
2023-10-01 10:00:00,R004,178,55,Low
2023-10-01 10:00:00,R005,107,78,Low
2023-10-01 11:00:00,R001,90,53,Low
2023-10-01 11:00:00,R002,156,41,Low
2023-10-01 11:00:00,R003,193,67,Low
2023-10-01 11:00:00,R004,109,68,Low
2023-10-01 11:00:00,R005,94,44,Low
2023-10-01 12:00:00,R001,163,34,Medium
2023-10-01 12:00:00,R002,225,92,Low
2023-10-01 12:00:00,R003,201,34,Medium
2023-10-01 12:00:00,R004,186,55,Low
2023-10-01 12:00:00,R005,87,77,Low
2023-10-01 13:00:00,R001,63,26,Medium
2023-10-01 13:00:00,R002,123,52,Low
2023-10-01 13:00:00,R003,137,45,Low
2023-10-01 13:00:00,R004,96,31,Medium
2023-10-01 13:00:00,R005,117,44,Low
2023-10-01 14:00:00,R001,250,31,Medium
2023-10-01 14:00:00,R002,213,32,Medium
2023-10-01 14:00:00,R003,144,44,Low
2023-10-01 14:00:00,R004,161,41,Low
2023-10-01 14:00:00,R005,145,36,Medium
2023-10-01 15:00:00,R001,189,46,Low
2023-10-01 15:00:00,R002,122,38,Medium
2023-10-01 15:00:00,R003,179,57,Low
2023-10-01 15:00:00,R004,110,69,Low
2023-10-01 15:00:00,R005,89,39,Medium
2023-10-01 16:00:00,R001,231,47,Low
2023-10-01 16:00:00,R002,249,55,Low
2023-10-01 16:00:00,R003,80,51,Low
2023-10-01 16:00:00,R004,141,62,Low
2023-10-01 16:00:00,R005,199,69,Low
2023-10-01 17:00:00,R001,129,50,Low
2023-10-01 17:00:00,R002,111,80,Low
2023-10-01 17:00:00,R003,77,87,Low
2023-10-01 17:00:00,R004,87,58,Low
2023-10-01 17:00:00,R005,196,58,Low
2023-10-01 18:00:00,R001,193,41,Low
2023-10-01 18:00:00,R002,194,56,Low
2023-10-01 18:00:00,R003,69,37,Medium
2023-10-01 18:00:00,R004,217,38,Medium
2023-10-01 18:00:00,R005,58,77,Low
2023-10-01 19:00:00,R001,178,38,Medium
2023-10-01 19:00:00,R002,102,33,Medium
2023-10-01 19:00:00,R003,194,34,Medium
2023-10-01 19:00:00,R004,74,30,Medium
2023-10-01 19:00:00,R005,136,32,Medium
2023-10-01 20:00:00,R001,73,44,Low
2023-10-01 20:00:00,R002,118,50,Low
2023-10-01 20:00:00,R003,104,62,Low
2023-10-01 20:00:00,R004,161,41,Low
2023-10-01 20:00:00,R005,107,72,Low
2023-10-01 21:00:00,R001,87,41,Low
2023-10-01 21:00:00,R002,156,44,Low
2023-10-01 21:00:00,R003,133,62,Low
2023-10-01 21:00:00,R004,66,92,Low
2023-10-01 21:00:00,R005,105,78,Low
2023-10-01 22:00:00,R001,278,54,Low
2023-10-01 22:00:00,R002,96,64,Low
2023-10-01 22:00:00,R003,160,72,Low
2023-10-01 22:00:00,R004,127,46,Low
2023-10-01 22:00:00,R005,121,70,Low
2023-10-01 23:00:00,R001,172,72,Low
2023-10-01 23:00:00,R002,131,67,Low
2023-10-01 23:00:00,R003,143,54,Low
2023-10-01 23:00:00,R004,113,58,Low
2023-10-01 23:00:00,R005,77,74,Low
2023-10-02 00:00:00,R001,278,39,Medium
2023-10-02 00:00:00,R002,131,60,Low
2023-10-02 00:00:00,R003,130,70,Low
2023-10-02 00:00:00,R004,230,61,Low
2023-10-02 00:00:00,R005,162,57,Low
2023-10-02 01:00:00,R001,290,44,Low
2023-10-02 01:00:00,R002,183,79,Low
2023-10-02 01:00:00,R003,161,81,Low
2023-10-02 01:00:00,R004,222,73,Low
2023-10-02 01:00:00,R005,160,79,Low
2023-10-02 02:00:00,R001,174,51,Low
2023-10-02 02:00:00,R002,53,47,Low
2023-10-02 02:00:00,R003,66,60,Low
2023-10-02 02:00:00,R004,138,64,Low
2023-10-02 02:00:00,R005,156,65,Low
2023-10-02 03:00:00,R001,76,52,Low
2023-10-02 03:00:00,R002,176,33,Medium
2023-10-02 03:00:00,R003,266,74,Low
2023-10-02 03:00:00,R004,85,74,Low
2023-10-02 03:00:00,R005,130,57,Low
2023-10-02 04:00:00,R001,306,50,Low
2023-10-02 04:00:00,R002,99,65,Low
2023-10-02 04:00:00,R003,97,50,Low
2023-10-02 04:00:00,R004,93,46,Low
2023-10-02 04:00:00,R005,70,47,Low
2023-10-02 05:00:00,R001,84,59,Low
2023-10-02 05:00:00,R002,228,79,Low
