timestamp,temperature_celsius,precipitation_mm,visibility_km,condition
2023-10-01 00:00:00,21.4,0.0,5.8,Clear
2023-10-01 01:00:00,28.6,0.0,9.3,Clear
2023-10-01 02:00:00,22.1,0.0,5.9,Partly Cloudy
2023-10-01 03:00:00,24.4,0.0,7.6,Clear
2023-10-01 04:00:00,31.1,0.0,5.7,Clear
2023-10-01 05:00:00,19.4,0.0,6.8,Clear
2023-10-01 06:00:00,23.9,0.0,7.6,Clear
2023-10-01 07:00:00,28.0,0.0,5.2,Partly Cloudy
2023-10-01 08:00:00,22.0,0.0,5.5,Partly Cloudy
2023-10-01 09:00:00,29.7,0.0,7.2,Partly Cloudy
2023-10-01 10:00:00,24.3,0.0,9.5,Clear
2023-10-01 11:00:00,27.0,0.0,8.3,Clear
2023-10-01 12:00:00,40.9,0.0,5.9,Clear
2023-10-01 13:00:00,31.0,0.0,1.7,Fog
2023-10-01 14:00:00,26.1,0.0,1.9,Fog
2023-10-01 15:00:00,31.4,0.0,6.0,Clear
2023-10-01 16:00:00,22.0,0.0,6.4,Clear
2023-10-01 17:00:00,14.100000000000001,2.2,6.4,Light Rain
2023-10-01 18:00:00,26.6,0.0,5.4,Partly Cloudy
2023-10-01 19:00:00,23.1,0.0,1.7,Fog
2023-10-01 20:00:00,32.2,0.0,8.9,Clear
2023-10-01 21:00:00,31.7,0.0,6.8,Clear
2023-10-01 22:00:00,28.7,0.0,6.7,Clear
2023-10-01 23:00:00,31.9,0.0,6.6,Clear
2023-10-02 00:00:00,31.1,0.0,9.4,Clear
2023-10-02 01:00:00,33.8,0.0,5.6,Clear
2023-10-02 02:00:00,26.8,0.0,8.9,Overcast
2023-10-02 03:00:00,34.7,0.0,7.6,Clear
2023-10-02 04:00:00,27.4,0.0,6.6,Clear
2023-10-02 05:00:00,23.5,0.0,9.5,Partly Cloudy
2023-10-02 06:00:00,34.4,0.0,6.1,Clear
2023-10-02 07:00:00,24.4,0.0,6.4,Clear
2023-10-02 08:00:00,31.6,0.0,9.0,Clear
2023-10-02 09:00:00,28.6,0.0,9.5,Clear
2023-10-02 10:00:00,21.5,0.0,6.1,Partly Cloudy
2023-10-02 11:00:00,25.4,0.0,9.1,Clear
2023-10-02 12:00:00,22.0,2.7,6.1,Heavy Rain
2023-10-02 13:00:00,25.8,0.0,6.7,Clear
2023-10-02 14:00:00,26.1,0.0,1.6,Fog
2023-10-02 15:00:00,16.9,0.0,9.9,Clear
2023-10-02 16:00:00,24.9,0.0,1.0,Fog
2023-10-02 17:00:00,18.6,0.0,5.2,Clear
2023-10-02 18:00:00,21.7,0.0,6.4,Partly Cloudy
2023-10-02 19:00:00,25.0,0.0,0.9,Fog
2023-10-02 20:00:00,28.7,0.0,6.2,Clear
2023-10-02 21:00:00,25.0,0.0,8.8,Partly Cloudy
2023-10-02 22:00:00,23.0,0.0,8.2,Clear
2023-10-02 23:00:00,31.9,0.0,7.7,Partly Cloudy
2023-10-03 00:00:00,24.5,0.0,5.9,Clear
2023-10-03 01:00:00,31.6,0.0,8.0,Clear
2023-10-03 02:00:00,25.0,0.0,6.1,Partly Cloudy
2023-10-03 03:00:00,23.2,0.0,5.9,Partly Cloudy
2023-10-03 04:00:00,28.1,0.0,5.7,Partly Cloudy
2023-10-03 05:00:00,26.2,0.0,5.6,Clear
2023-10-03 06:00:00,23.2,0.0,1.5,Fog
2023-10-03 07:00:00,24.8,4.1,7.6,Light Rain
2023-10-03 08:00:00,28.3,0.0,6.7,Clear
2023-10-03 09:00:00,30.9,0.0,8.6,Clear
2023-10-03 10:00:00,23.3,5.1,5.4,Heavy Rain
2023-10-03 11:00:00,28.7,0.0,9.5,Clear
2023-10-03 12:00:00,25.9,0.0,8.5,Partly Cloudy
2023-10-03 13:00:00,18.9,0.0,6.1,Partly Cloudy
2023-10-03 14:00:00,21.2,0.0,8.7,Overcast
2023-10-03 15:00:00,19.3,0.0,9.2,Partly Cloudy
2023-10-03 16:00:00,20.7,0.0,6.8,Partly Cloudy
2023-10-03 17:00:00,27.7,0.0,6.2,Clear
2023-10-03 18:00:00,29.4,0.0,1.4,Fog
2023-10-03 19:00:00,23.8,0.0,7.5,Overcast
2023-10-03 20:00:00,18.0,0.0,8.6,Partly Cloudy
2023-10-03 21:00:00,26.8,0.0,5.1,Clear
2023-10-03 22:00:00,24.4,0.0,9.8,Partly Cloudy
2023-10-03 23:00:00,28.7,0.0,1.8,Fog
2023-10-04 00:00:00,32.2,0.0,6.6,Clear
2023-10-04 01:00:00,25.3,0.0,7.8,Clear
2023-10-04 02:00:00,28.2,0.0,0.6,Fog
2023-10-04 03:00:00,33.8,0.0,10.0,Partly Cloudy
2023-10-04 04:00:00,32.3,0.0,8.7,Clear
2023-10-04 05:00:00,25.3,0.0,8.5,Partly Cloudy
2023-10-04 06:00:00,31.5,0.0,9.1,Clear
2023-10-04 07:00:00,19.0,12.2,7.6,Heavy Rain
2023-10-04 08:00:00,27.9,0.0,8.5,Partly Cloudy
2023-10-04 09:00:00,30.7,0.0,9.5,Overcast
2023-10-04 10:00:00,23.1,0.0,7.9,Clear
2023-10-04 11:00:00,25.8,0.0,7.3,Clear
2023-10-04 12:00:00,28.4,0.0,5.2,Partly Cloudy
2023-10-04 13:00:00,18.9,0.0,9.1,Clear
2023-10-04 14:00:00,27.3,0.0,8.8,Clear
2023-10-04 15:00:00,21.6,0.0,8.1,Clear
2023-10-04 16:00:00,27.2,0.0,7.7,Clear
2023-10-04 17:00:00,21.7,0.0,8.6,Partly Cloudy
2023-10-04 18:00:00,14.9,0.0,1.7,Fog
2023-10-04 19:00:00,27.9,0.0,7.2,Clear
2023-10-04 20:00:00,29.5,0.0,7.0,Clear
